;Название вакансии;Название компании;Город;Заработная плата;Опыт работы;Тип работы;URL;Описание
0;Data Scientist; GFAIVE;Москва;150000;1–3 года;удаленная работа;https://hh.ru/vacancy/34615796?query=Data%20scientist;...for retail clients. Manage, coordinate, prioritize project tasks for remote data science team, as well as design and execute pilot... Master’s degree in Computer Science, Data Science, applied Mathematics, or Statistics or other related degrees. Ability to analyze data...
1;NLP engineer / Data scientist NLP;ООО АлгоМост;Москва;175000;1–3 года;полный день;https://hh.ru/vacancy/34301787?query=Data%20scientist;Кластеризация и классификация документов, извлечение сущностей из текста. Автоматическое построение шаблонов текстовых описаний. Выделение полезной информации из электронных медицинских записей... Знание и опыт работы в сфере анализа данных, машинного обучения, статистики (методы, модели, способы их реализации и поддержки). 
2;Python Data Scientist; Web Interactive World;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/34524921?query=Data%20scientist;Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение... Высшее техническое/математическое образование. Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и...
3;Data scientist;ООО 22 Век Плюс;Москва;120000;1–3 года;гибкий график;https://hh.ru/vacancy/34488969?query=Data%20scientist; 
4;Junior Data Scientist;ООО Рекон Групп;Санкт-Петербург;110000;1–3 года;полный день;https://hh.ru/vacancy/34665304?query=Data%20scientist;Проведение анализа данных для извлечения информации. Реализация классических ML-моделей и NLP-инструментов. Желание учиться и развиваться в data-science... Степень бакалавра или магистра в области математики, информационных технологий или иных STEM-related дисциплин, или эквивалентная комбинация образования, обучения или...
5;Data Scientist;ООО Цифровое проектирование;Санкт-Петербург;110000;1–3 года;полный день;https://hh.ru/vacancy/34419433?query=Data%20scientist;Разработка алгоритмического и программного обеспечения (R&D). Курирование группы разработчиков алгоритмического и программного обеспечения. Выстраивание процессов разработки в команде. Наставничество. ...другие), знание экосистемы математических библиотек на базе Python. Опыт решения задач в области data science. Ответственность. Позитив и желание развиваться.
6;Data Scientist/Backend developer;ИП Ахтеров Александр Вячеславович;Москва;60000;1–3 года;удаленная работа;https://hh.ru/vacancy/34588097?query=Data%20scientist;"Разработка, тестирование и внедрение моделей на основе машинного обучения в области NLP. Доработка backend существующих и участие в разработке новых... ...делать"" через час после возникновения проблемы не принимаются. Желание расти и развиваться в области data science и NLP в частности."
7;Data Scientist;ООО Агентство ПРОФИ;Сочи;150000;1–3 года;полный день;https://hh.ru/vacancy/34706162?query=Data%20scientist;Развитие архитектуры и алгоритмов обработки для акустической и языковой моделей распознавания речи. Поиск алгоритмов, которые помогут улучшить качество распознавания в... Подтверждённый опыт от 2-х лет. Python. Понимание базовых структур данных и алгоритмов работы. ML и DL алгоритмы. 
8;Computer Vision / Data scientist CV;ООО АлгоМост;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/34643007?query=Data%20scientist;Построение моделей для вычисления количественных показателей по изображениям. Построение моделей для детекции и сегментации на медицинских изображениях. Построение моделей диагностики... Знание и опыт работы в сфере анализа данных, машинного обучения, статистики (методы, модели, способы их реализации и поддержки). 
9;Аналитик big data/data scientist; Точка Роста;Москва;60000;1–3 года;гибкий график;https://hh.ru/vacancy/34639130?query=Data%20scientist;"Применение машинного обучения для решения бизнес-задач. Применение алгоритмов и инструментов для сбора и трансформации данных в удобный для анализа... Построение аналитических моделей в соответствующих средах (Python SQL итд.), понимание ""коробочных"" решений для big data. Требования: Высшее образование - математика, статистика..."
10;Data Scientist; Первый Бит;Москва;175000;1–3 года;полный день;https://hh.ru/vacancy/34688151?query=Data%20scientist;Как понять является ли какой-либо запрос товаром или категорией на основе выдачи поисковых систем? Как из запроса “белая стиральная... Завершение курсов по ML/DS или профильное образование. Знание и опыт применения основных алгоритмов машинного обучения для задач классификации, регрессии...
11;Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining);ЗАО Прогностические решения;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/32765739?query=Data%20scientist;Участие в проектах по созданию и внедрению аналитических систем и решений. Основные этапы проектов: Математическое, естественнонаучное, техническое образование. Также возможно экономическое, психологическое или другое социально-экономическое образование, в ходе получения которого была получена серьезная...
12;Аналитик данных / Data Scientist; Открытые Технологии;Москва;150000;1–3 года;полный день;https://hh.ru/vacancy/32377243?query=Data%20scientist;Анализ существующих бизнес и технологических процессов Заказчика. Формирование требований и моделирование процессов. Разработка предложений и рекомендаций по оптимизации процессов.  Завершение курсов по ML/DS или профильное образование. Наличие опыта работы программистом или системным администратором/тестировщиком ПО (2-3 года). 
